years,records,search_engine,publication,technology
2014,3,IEEE,KB,MDC
2015,10,IEEE,KB,MDC
2016,12,IEEE,KB,MDC
2017,9,IEEE,KB,MDC
2018,3,IEEE,KB,MDC
2017,2,IEEE,A,MDC
2018,2,IEEE,A,MDC
1973,1,IEEE,KB,ML
1974,1,IEEE,KB,ML
1975,0,IEEE,KB,ML
1976,0,IEEE,KB,ML
1977,0,IEEE,KB,ML
1978,0,IEEE,KB,ML
1979,0,IEEE,KB,ML
1980,0,IEEE,KB,ML
1981,1,IEEE,KB,ML
1982,0,IEEE,KB,ML
1983,0,IEEE,KB,ML
1984,0,IEEE,KB,ML
1985,2,IEEE,KB,ML
1986,0,IEEE,KB,ML
1987,3,IEEE,KB,ML
1988,42,IEEE,KB,ML
1989,35,IEEE,KB,ML
1990,63,IEEE,KB,ML
1991,102,IEEE,KB,ML
1992,85,IEEE,KB,ML
1993,112,IEEE,KB,ML
1994,99,IEEE,KB,ML
1995,97,IEEE,KB,ML
1996,97,IEEE,KB,ML
1997,125,IEEE,KB,ML
1998,123,IEEE,KB,ML
1999,201,IEEE,KB,ML
2000,195,IEEE,KB,ML
2001,220,IEEE,KB,ML
2002,780,IEEE,KB,ML
2003,1003,IEEE,KB,ML
2004,1646,IEEE,KB,ML
2005,1889,IEEE,KB,ML
2006,1886,IEEE,KB,ML
2007,2076,IEEE,KB,ML
2008,2497,IEEE,KB,ML
2009,2973,IEEE,KB,ML
2010,2685,IEEE,KB,ML
2011,2166,IEEE,KB,ML
2012,2326,IEEE,KB,ML
2013,2252,IEEE,KB,ML
2014,2387,IEEE,KB,ML
2015,3155,IEEE,KB,ML
2016,4118,IEEE,KB,ML
2017,5395,IEEE,KB,ML
2018,1415,IEEE,KB,ML
1953,1,IEEE,A,ML
1954,0,IEEE,A,ML
1955,0,IEEE,A,ML
1956,0,IEEE,A,ML
1957,0,IEEE,A,ML
1958,0,IEEE,A,ML
1959,1,IEEE,A,ML
1960,0,IEEE,A,ML
1961,5,IEEE,A,ML
1962,7,IEEE,A,ML
1963,6,IEEE,A,ML
1964,4,IEEE,A,ML
1965,4,IEEE,A,ML
1966,6,IEEE,A,ML
1967,11,IEEE,A,ML
1968,5,IEEE,A,ML
1969,4,IEEE,A,ML
1970,5,IEEE,A,ML
1971,2,IEEE,A,ML
1972,3,IEEE,A,ML
1973,6,IEEE,A,ML
1974,1,IEEE,A,ML
1975,1,IEEE,A,ML
1976,6,IEEE,A,ML
1977,1,IEEE,A,ML
1978,2,IEEE,A,ML
1979,2,IEEE,A,ML
1980,2,IEEE,A,ML
1981,2,IEEE,A,ML
1982,0,IEEE,A,ML
1983,0,IEEE,A,ML
1984,0,IEEE,A,ML
1985,4,IEEE,A,ML
1986,2,IEEE,A,ML
1987,4,IEEE,A,ML
